node lable
0 1
205 1
564 1
1184 1
1742 1
1886 1
2774 1
3182 1
3544 1
3671 1
4356 1
4466 1
5025 1
5251 1
6278 1
6395 1
7280 1
7680 1
7820 1
8144 1
8329 1
8620 1
9337 1
9431 1
9520 1
10028 1
10770 1
11311 1
11788 1
12001 1
12406 1
12647 1
13130 1
13235 1
13236 1
13551 1
13816 1
13934 1
14782 1
14880 1
15141 1
15223 1
15316 1
15433 1
15539 1
15550 1
15656 1
16327 1
16402 1
16643 1
16813 1
17204 1
17397 1
17614 1
19346 1
19772 1
20321 1
20438 1
20614 1
21265 1
21389 1
21801 1
21927 1
22577 1
22830 1
23236 1
23341 1
23345 1
23748 1
24317 1
24463 1
24743 1
25488 1
26655 1
26882 1
27561 0
27855 1
28460 1
28654 1
28757 1
28796 1
29572 1
30162 1
30456 1
31131 1
31246 1
31500 1
31590 1
31801 1
31942 1
32126 1
32500 1
33279 1
33412 1
33497 1
33708 1
33796 1
34409 1
34669 1
35024 1
35678 1
35682 1
36005 1
36106 1
36205 1
36400 1
36518 1
36866 1
36986 1
37268 1
38157 1
38363 1
38398 1
38470 0
38527 1
38634 1
39404 1
39642 1
39777 1
39988 1
41376 1
41410 1
41670 1
41818 1
42087 1
42273 1
42538 1
42820 1
43045 1
43355 1
44443 1
44676 1
45053 1
45496 1
45577 1
45675 1
45807 1
45906 1
45964 1
46170 1
46893 1
47030 1
48253 0
48277 1
48477 1
48819 1
49681 1
50248 1
50572 1
50683 1
51029 1
51509 1
51975 1
52240 1
53448 1
53587 1
53703 1
54126 1
54462 1
54775 1
55118 1
55330 1
55481 1
56250 1
57315 1
57705 1
57965 1
58323 1
58850 1
59092 1
59093 1
59341 1
59500 1
59620 1
59810 1
60389 1
60934 1
61651 1
62314 0
62554 1
62884 1
63410 1
63543 1
63813 1
63934 1
65358 1
65558 1
65709 1
65838 1
66009 1
66010 1
66299 1
66505 1
66741 1
66961 1
67152 1
67211 1
67465 1
67652 1
68730 1
68967 1
70013 1
70469 1
70984 1
72063 1
72103 1
72347 1
73508 1
73712 1
73897 1
73948 1
74689 1
74915 1
75125 1
75425 1
75954 1
75958 1
76208 1
76566 1
76782 1
77273 1
78081 1
78769 1
79025 1
79203 1
79793 1
79912 1
80144 1
80572 1
80868 1
80958 1
81016 1
81409 1
81741 1
82627 1
82838 1
83216 1
84681 1
85431 1
85567 1
85660 1
86023 1
86280 1
86420 1
86511 1
86877 1
87120 1
87491 1
87604 1
87771 1
88095 1
88182 1
89168 1
89280 1
89662 1
90178 1
90272 1
90595 1
91051 1
91324 1
91524 1
92317 1
92769 1
93571 1
93845 1
93884 1
95042 1
95463 1
95559 1
96184 1
96337 1
96448 1
96770 1
97047 1
97921 1
97993 1
98083 1
99077 1
99271 1
99576 1
100306 1
101072 1
102417 1
103330 1
104417 1
104938 1
104983 1
105360 1
105567 1
106015 1
106200 1
107217 1
107300 1
107533 1
107639 1
108127 1
108267 1
108718 1
109269 1
110367 1
111356 1
112575 1
112934 1
113541 1
114714 0
114794 1
114896 1
115773 1
115882 1
116209 1
116838 1
116992 1
117195 1
117833 1
118110 1
119787 1
119968 1
120695 1
121122 1
121297 1
122200 1
122514 1
123075 1
123419 1
124259 0
124452 1
124536 1
125227 1
125690 1
125811 1
125919 1
126179 1
126578 1
126866 1
127017 1
127207 1
127294 1
127656 1
127949 1
128043 1
128412 1
129371 1
129682 1
130116 1
130502 1
130639 1
130704 1
131033 1
131312 1
131716 1
131884 1
132055 1
132146 1
132346 1
132819 1
132939 1
133016 1
133323 1
133380 1
133607 1
133730 1
135308 1
135415 1
135460 1
135965 1
136692 1
137584 1
138252 1
138970 1
139172 1
139389 1
139696 1
139854 1
140159 1
140291 1
140585 1
140697 1
141757 1
141869 1
142171 1
142319 1
142929 1
143579 1
144171 1
144774 1
145129 1
145371 1
145455 1
145874 1
146021 1
147058 1
147529 1
147646 1
149652 1
149754 1
149814 1
149832 1
149932 1
150220 1
150441 1
150726 1
151164 1
152177 1
152441 1
152758 1
152773 1
153022 1
153145 1
154171 1
154314 1
154692 1
154954 1
155395 1
155937 1
156186 1
156894 1
157027 1
157222 1
157408 1
157577 1
157769 1
158129 1
158244 1
158398 1
158771 1
159236 1
159721 1
159768 1
159869 1
160250 1
160381 1
160764 1
161910 1
162198 1
162321 1
162509 1
163183 1
163365 1
163710 1
164601 1
164709 1
164799 1
165114 1
165629 1
